date_rptd,area_name,crm_cd,vict_age,vict_sex,vict_descent,lat,lon,weapons_used_cd,Year
2023-01-25T00:00:00.000,77th Street,354,35,M,B,33.9636,-118.3068,,2020
2023-02-08T00:00:00.000,N Hollywood,812,10,F,W,34.1548,-118.3662,,2020
2023-11-06T00:00:00.000,Pacific,354,60,F,B,33.9993,-118.4397,,2020
2022-04-20T00:00:00.000,N Hollywood,420,0,,,34.1776,-118.3889,,2020
2023-10-13T00:00:00.000,Southeast,354,32,F,H,33.9332,-118.2485,,2020
2023-05-24T00:00:00.000,77th Street,354,36,F,B,33.9821,-118.3318,,2020
2022-04-14T00:00:00.000,Southwest,354,72,F,B,34.0325,-118.3639,,2020
2023-06-02T00:00:00.000,West LA,930,25,M,W,34.0549,-118.4671,,2020
2020-04-26T00:00:00.000,Southeast,510,0,,,33.9547,-118.2717,,2020
2022-06-15T00:00:00.000,Pacific,420,0,,,33.9876,-118.4489,,2020
2021-02-02T00:00:00.000,N Hollywood,330,18,F,H,34.1412,-118.3681,,2020
2022-04-25T00:00:00.000,Rampart,956,27,F,B,34.0648,-118.2559,,2020
2022-09-12T00:00:00.000,Southwest,331,27,F,O,34.0191,-118.2977,,2020
2023-07-27T00:00:00.000,Southeast,354,29,F,B,33.9345,-118.2329,,2020
2022-04-07T00:00:00.000,77th Street,812,9,F,H,33.9921,-118.298,,2020
2022-12-31T00:00:00.000,Van Nuys,354,41,F,O,34.1887,-118.4313,,2020
2022-11-28T00:00:00.000,West Valley,354,44,F,W,34.1787,-118.5475,,2020
2023-07-25T00:00:00.000,Topanga,956,17,F,W,34.1484,-118.6033,,2020
2022-07-06T00:00:00.000,Southwest,626,25,F,B,34.0055,-118.2915,,2020
2023-07-07T00:00:00.000,Southwest,813,5,F,H,34.0301,-118.3636,,2020
2022-05-19T00:00:00.000,Pacific,946,46,F,H,33.9943,-118.4748,,2020
2022-05-09T00:00:00.000,Mission,330,36,M,H,34.2573,-118.463,,2020
